"film_id","title","inventory_id"
1,"Academy Dinosaur",1
1,"Academy Dinosaur",2
1,"Academy Dinosaur",3
1,"Academy Dinosaur",4
1,"Academy Dinosaur",5
1,"Academy Dinosaur",6
1,"Academy Dinosaur",7
1,"Academy Dinosaur",8
2,"Ace Goldfinger",9
2,"Ace Goldfinger",10
2,"Ace Goldfinger",11
3,"Adaptation Holes",12
3,"Adaptation Holes",13
3,"Adaptation Holes",14
3,"Adaptation Holes",15
4,"Affair Prejudice",16
4,"Affair Prejudice",17
4,"Affair Prejudice",18
4,"Affair Prejudice",19
4,"Affair Prejudice",20
4,"Affair Prejudice",21
4,"Affair Prejudice",22
5,"African Egg",23
5,"African Egg",24
5,"African Egg",25
6,"Agent Truman",26
6,"Agent Truman",27
6,"Agent Truman",28
6,"Agent Truman",29
6,"Agent Truman",30
6,"Agent Truman",31
7,"Airplane Sierra",32
7,"Airplane Sierra",33
7,"Airplane Sierra",34
7,"Airplane Sierra",35
7,"Airplane Sierra",36
8,"Airport Pollock",37
8,"Airport Pollock",38
8,"Airport Pollock",39
8,"Airport Pollock",40
9,"Alabama Devil",41
9,"Alabama Devil",42
9,"Alabama Devil",43
9,"Alabama Devil",44
9,"Alabama Devil",45
10,"Aladdin Calendar",46
10,"Aladdin Calendar",47
10,"Aladdin Calendar",48
10,"Aladdin Calendar",49
10,"Aladdin Calendar",50
10,"Aladdin Calendar",51
10,"Aladdin Calendar",52
11,"Alamo Videotape",53
11,"Alamo Videotape",54
11,"Alamo Videotape",55
11,"Alamo Videotape",56
11,"Alamo Videotape",57
11,"Alamo Videotape",58
11,"Alamo Videotape",59
12,"Alaska Phantom",60
12,"Alaska Phantom",61
12,"Alaska Phantom",62
12,"Alaska Phantom",63
12,"Alaska Phantom",64
12,"Alaska Phantom",65
12,"Alaska Phantom",66
13,"Ali Forever",67
13,"Ali Forever",68
13,"Ali Forever",69
13,"Ali Forever",70
15,"Alien Center",71
15,"Alien Center",72
15,"Alien Center",73
15,"Alien Center",74
15,"Alien Center",75
15,"Alien Center",76
16,"Alley Evolution",77
16,"Alley Evolution",78
16,"Alley Evolution",79
16,"Alley Evolution",80
17,"Alone Trip",81
17,"Alone Trip",82
17,"Alone Trip",83
17,"Alone Trip",84
17,"Alone Trip",85
17,"Alone Trip",86
18,"Alter Victory",87
18,"Alter Victory",88
18,"Alter Victory",89
18,"Alter Victory",90
18,"Alter Victory",91
18,"Alter Victory",92
19,"Amadeus Holy",93
19,"Amadeus Holy",94
19,"Amadeus Holy",95
19,"Amadeus Holy",96
19,"Amadeus Holy",97
19,"Amadeus Holy",98
20,"Amelie Hellfighters",99
